address,rent,comments
40 Windsor Ave. Medford MA,650,"Right across from the gym, 4 huge bedrooms with 2 bathrooms, 2 living rooms, 2 outdoor porches, a backyard and huge basement!"
70 Ossipee Rd Medford MA,850,"3 big bedrooms available! Beautiful house with a balcony, 2 bathrooms, a large living room, and kitchen. Convenience store right down the street, and a 3 minute walk from a bus stop, Masala, Mag Muffin, and Teele square. Fully furnished, with washer and dryer. Email for more details/photos!"
40 Windsor Rd Medford MA,650,"- Start/end date is negotiable
- Full kitchen and bath
- Kitchen has microwave, big fridge/freezer, oven, dishwasher, rice cooker, toaster, electric pot, and more than enough silverware + dishes + pots/pans
- Big living room and dining room
- Clean basement for storage and laundry (and party)
- Utility ~$35/month (gas+electric+internet, based on last summer)
- 10 min walk to campus, close to gym 
- 1 min walk to a convenience store (http://alexandersfood.com/)"
46 West Quincy St Medford MA,660,AWESOME INCREDIBLE
74 Bromfield Rd Medford MA,690,"1 room with a covered porch attached, fully furnished, in a 6-bedroom, 2 floor apartment. large living room & kitchen, backyard, basement, washer and dryer, dishwasher"
89 Windsor Road Medford MA,700,"1 room available for sping 2017 semester, mattress, bed frame, dresser, washer & dryer in basement, new electric stove top in kitchen, dishwasher, access to back and front porch, convenience store right down the street, close to Brown and Brew, Gym, and Halligan! Roommates are super nice and great at giving compliments :)"
"469 Cambridge St, Cambridge Medford MA",700,"1 detached room in 2nd floor apartment available, fully furnished, working roommates (1 Tufts grad), LGBTQ+ friendly"
300 Boston Ave Medford MA,715,"Rooms available for the summer - recently new front porches on all levels, refinished floors, new drywall and paint"
300 Boston Ave Medford MA,715,"prob ~6 rooms available (house has 3 levels w/ 4 rooms each) house was revamped this summer (new front porches on all levels, refinished floors, new drywall and paint)"
84 Packard Medford MA,733,One room plus parking spot in a spacial two floor apartment with two bathrooms.  Two roommates plus Basha the dog!
50 Winthrop St. Medford MA,735,"Available: June 1 - Aug 31 (end of May, early move in free)
Great location: right down rainbow steps, 2 mins from Carm, next to bus stop (96 Harvard, 94 Medford), very near dph tamper liquor store!
One huge bedroom available, with kitchen, living room, and one bathroom (shared with two other ppl), FREE laundry (in basement), FREE parking.
Rent negotiable (does not include wifi, utility, and gas)."
8 Lowden Ave Medford MA,750,"1 Room, beautiful kitchen and balcony, clean decorated common area and clean roommates."
15 Emery St. Medford MA,750,"1 large room on third floor, large, clean house with lots of storage space, two bathrooms, sun porch. Room has window AC unit and full bed, desk, dresser, closet. You get the whole third floor to yourself for unparalleled privacy and roominess!"
59 Quincy Medford MA,750,"fully furnished 3 person apartment, 1-3 persons welcome to contact me. wonderful spacious house. free street parking, wonderful porches, all kitchen equipment available, washer, drier, hardwood floors."
84 Quincy  Medford MA,750,"1 room in a great 3 bedroom, email for more info! "
21 Orchard Medford MA,775,"1 room available, 2 fun female roommates, big kitchen. Email for more details/pictures"
"116 Pearson Rd Apt 1, Somerville Medford MA",775,"1 room still available, fully furnished, close to Davis / Powderhouse / Ball Square, really close to the T and bus lines"
